Categoría,Palabra,Frecuencia
business,said,2465
business,will,1121
business,year,868
business,also,622
business,new,589
business,market,585
business,growth,553
business,last,524
business,company,516
business,economy,501
business,bank,474
business,sales,450
business,firm,450
business,economic,446
business,oil,442
business,government,431
business,years,387
business,prices,349
business,shares,348
business,may,347
business,one,341
business,firms,337
business,two,336
business,chief,329
business,now,318
business,business,312
business,companies,299
business,rise,298
business,deal,291
business,however,289
business,expected,288
business,financial,284
business,analysts,270
business,yukos,267
business,group,261
business,since,257
business,three,256
business,stock,251
business,december,249
business,months,241
business,president,239
business,first,238
business,dollar,236
business,rate,232
business,time,230
business,european,229
business,china,224
business,quarter,223
business,trade,223
business,still,222
business,many,221
business,people,220
business,biggest,218
business,interest,217
business,investment,217
business,spending,214
business,rates,214
business,made,212
business,countries,212
business,state,212
business,demand,211
business,profits,210
business,told,208
business,month,206
business,strong,204
business,executive,204
business,foreign,203
business,price,203
business,world,199
business,jobs,197
business,figures,197
business,rose,194
business,euros,192
business,offer,192
business,tax,191
business,set,189
business,much,189
business,budget,188
business,next,185
business,news,185
business,back,183
business,million,179
business,part,178
business,according,178
business,cut,176
business,money,175
business,high,175
business,fall,175
business,worlds,175
business,bid,174
business,increase,171
business,russian,171
business,make,171
business,costs,169
business,share,169
business,deutsche,167
business,exchange,166
business,recent,166
business,annual,165
business,added,164
business,january,163
business,report,163
business,hit,161
business,well,161
business,investors,160
business,former,160
business,industry,160
business,take,159
business,fell,159
business,likely,156
business,london,152
business,debt,152
business,sale,150
business,move,150
business,minister,150
business,countrys,150
business,pay,149
business,production,149
business,court,149
business,reported,148
business,europe,146
business,deficit,146
business,says,146
business,higher,145
business,week,142
business,can,141
business,banks,141
business,say,140
business,car,140
business,giant,137
business,global,135
business,plans,134
business,profit,132
business,just,132
business,record,132
business,main,131
business,cost,131
business,club,131
business,number,130
business,public,130
business,seen,129
business,south,128
business,consumer,128
business,international,127
business,bankruptcy,127
business,buy,127
business,exports,127
business,largest,127
business,markets,126
business,less,125
entertainment,said,1215
entertainment,film,1179
entertainment,best,988
entertainment,will,808
entertainment,music,666
entertainment,also,568
entertainment,one,521
entertainment,new,495
entertainment,years,476
entertainment,show,446
entertainment,year,398
entertainment,first,392
entertainment,awards,369
entertainment,last,364
entertainment,number,351
entertainment,won,347
entertainment,award,345
entertainment,director,330
entertainment,actor,311
entertainment,two,308
entertainment,band,308
entertainment,star,305
entertainment,films,301
entertainment,british,289
entertainment,album,277
entertainment,people,270
entertainment,song,265
entertainment,top,264
entertainment,bbc,253
entertainment,actress,243
entertainment,three,231
entertainment,time,230
entertainment,including,230
entertainment,made,212
entertainment,million,211
entertainment,festival,205
entertainment,comedy,194
entertainment,singer,192
entertainment,like,191
entertainment,world,180
entertainment,chart,180
entertainment,stars,174
entertainment,rock,172
entertainment,now,171
entertainment,hit,170
entertainment,movie,170
entertainment,just,170
entertainment,series,168
entertainment,prize,167
entertainment,role,161
entertainment,office,161
entertainment,oscar,161
entertainment,well,158
entertainment,box,156
entertainment,record,155
